Time,Value
12:33:52,-12558
12:33:52,-10970
12:33:52,-4367
12:33:52,3599
12:33:52,7836
12:33:52,15342
12:33:52,21434
12:33:52,23351
12:33:52,28592
12:33:52,39562
12:33:52,48381
12:33:53,47818
12:33:53,42546
12:33:53,33991
12:33:53,24597
12:33:53,16752
12:33:53,10167
12:33:53,4661
12:33:53,-4656
12:33:53,-18954
12:33:53,-31910
12:33:53,-29313
12:33:53,-6186
12:33:53,21195
12:33:53,36993
12:33:53,43480
12:33:53,45486
12:33:53,39512
12:33:53,32230
12:33:53,29608
12:33:53,24933
12:33:53,16184
12:33:53,8625
12:33:53,1451
12:33:53,-9418
12:33:53,-16948
12:33:53,-16038
12:33:53,-11755
12:33:53,-2802
12:33:53,11376
12:33:53,21163
12:33:53,24435
12:33:53,31455
12:33:53,42269
12:33:53,47850
12:33:53,49385
12:33:53,49195
12:33:53,42604
12:33:53,30963
12:33:53,23441
12:33:53,16679
12:33:53,5373
12:33:53,-2941
12:33:53,-7087
12:33:53,-11260
12:33:53,-10149
12:33:53,-2599
12:33:53,3800
12:33:53,11241
12:33:53,23010
12:33:53,31481
12:33:53,31249
12:33:53,28476
12:33:53,27457
12:33:53,22460
12:33:53,14927
12:33:53,12862
12:33:53,12658
12:33:53,7582
12:33:53,732
12:33:53,-4255
12:33:53,-2662
12:33:53,9860
12:33:53,24185
12:33:53,34172
12:33:53,45537
12:33:53,54680
12:33:53,51123
12:33:53,40225
12:33:53,30197
12:33:53,22365
12:33:53,16048
